"Club","Swimmer","Age 													Group","Seed 													 														Time","HT/LN","Time","Pl","Pts"
"MICH","Olson, Chuck","75-79","35.00","3/6","34.42","3","8"
"LSM","Kelsoe, Robert","70-74","32.78","5/2","34.53","8","3"
"NMMS","Smith, Mark","60-64","34.25","8/2","34.53","20","0"
"LGSR","Cottingham, John","65-69","34.89","6/8","34.75","16","0"
"WMST","Tharp, Greg","70-74","33.34","5/9","34.91","9","2"
"UC32","Donahoo, Don","70-74","35.50","4/5","35.06","10","1"
"ROSE","Foss, Lachlan","65-69","34.90","6/2","35.23","17","0"
"GTX","Houck, David","40-44","35.00","14/1","35.86","12","0"
"MOST","Michaels, Charles","65-69","34.66","6/3","36.11","18","0"
"MOST","Gallivan, Kevin","60-64","30.36","9/6","36.66","21","0"
"IM","Uecke, Alan","70-74","35.58","4/6","37.44","11","0"
"PBM","Mcpherrin, Kevin","75-79","38.24","3/7","37.51","4","7"
"SNM","Johnson, Clifford","70-74","37.50","4/4","37.57","12","0"
"SHARK","Hefner, David","70-74","38.00","4/3","38.86","13","0"
"SFTL","Gaw, Mike","55-59","37.55","8/9","39.15","15","0"
"MINN","Helm, Wayne","75-79","38.36","3/3","39.47","5","6"
"SNM","Lintz, Steve","70-74","38.00","4/8","39.97","14","0"
"MINN","Bovard, Ralph","70-74","37.79","4/7","40.25","15","0"
"LSM","Welty, Bob","80-84","40.00","2/4","40.89","2","9"
"UC43","Cox, Jason","50-54","37.00","8/6","41.28","12","0"
"TOC","Elder, James","80-84","45.00","2/3","41.34","3","8"
"RIDG","Light, Dennis","70-74","44.64","4/1","42.05","16","0"
"SNM","Lawrie, Jim","75-79","42.03","3/2","43.68","6","5"
"UC14","Livingood, Bill","80-84","45.08","2/8","44.02","4","7"
"TOC","Van Horn, William","85-89","41.10","1/7","44.77","1","11"
"TOC","Dorey, Frederick","75-79","42.00","3/8","45.21","7","4"
"FASWM","Tredennick, William","75-79","46.86","3/9","46.43","8","3"
"INDY","Hogrefe, James","80-84","44.91","2/7","47.15","5","6"
"WISC","Riker, Tony","80-84","48.06","2/2","52.44","6","5"
"NOVA","Smethurst, Everett","90-94","56.00","1/6","52.70","1","11"
"MOVY","Benjamin, Laurie","85-89","55.06","1/8","54.31","2","9"
"LSM","Thatcher, Sandy","80-84","56.00","2/1","56.42","7","4"
"RMRM","Greve, Gordon","90-94","52.64","1/4","58.89","2","9"
"SFTL","Akbar, Clyde","75-79","1:57.48","3/1","1:46.38","9","2"
"GSM","Bartner, Norman","90-94","50.34","1/5","NS","","0"
"MINN","Becker, Noah","25-29","27.00","20/9","NS","","0"
"NAM","Bergman, Michael","60-64","32.16","9/2","NS","","0"
"CVMM","Boosin, Michael","55-59","27.99","12/5","NS","","0"
"IM","Brown, Paul","70-74","1:03.78","4/10","NS","","0"
"TXLA","Burns, Bill","70-74","38.44","4/2","NS","","0"
"LSM","Carroll, Stewart","55-59","28.21","12/4","NS","","0"
"WMST","Davis, Ross","55-59","28.88","12/8","NS","","0"
"NAM","Dudley, Daniel","70-74","40.20","4/9","NS","","0"
"DADS","Escalante, Rodolfo","35-39","26.00","17/8","NS","","0"
"MOST","Fabre, Carlos","80-84","39.00","2/6","NS","","0"
"SDSM","Gering, Kurt","55-59","31.56","11/7","NS","","0"
"1693","Healey, Matthew","25-29","25.55","21/10","NS","","0"
"TOC","Holsman, Trent","40-44","26.18","16/4","NS","","0"
"NYAC","Johnson, Eric","60-64","31.00","9/7","NS","","0"
"1693","Kettlewell-sites, Sam","25-29","23.47","21/4","NS","","0"
"UC32","Kline, Richard","60-64","30.00","10/10","NS","","0"
"NOVA","Moore, Peter","50-54","26.00","13/5","NS","","0"
"PSM","Nygren, Mats","55-59","28.00","12/6","NS","","0"
"SMS","Offner, Kurt","45-49","36.57","14/8","NS","","0"
"RMRM","Petersen, Craig","65-69","30.91","7/8","NS","","0"
"LSM","Pipkin, Ken","80-84","52.02","2/9","NS","","0"
"MOST","Raiborn, Louis","90-94","1:16.28","1/3","NS","","0"
"UC13","Sproles, Greg","55-59","28.92","12/9","NS","","0"
"YM","Uszynski, Arthur","25-29","24.50","21/3","NS","","0"
"MARS","Weaver, Bevan","40-44","31.64","14/4","NS","","0"
"LSM","Williams, Bruce","70-74","31.00","5/6","NS","","0"
